,Min Delay
11197,Medium Delay
2436,Medium Delay
5558,Medium Delay
32631,Short Delay
34679,Short Delay
12526,Short Delay
33607,Medium Delay
18174,Medium Delay
1272,Short Delay
45,Medium Delay
6568,Short Delay
27605,Long Delay
1851,Medium Delay
24335,Long Delay
23907,Medium Delay
3716,Medium Delay
16514,Short Delay
28880,Medium Delay
17094,Medium Delay
12617,Short Delay
25418,Medium Delay
10924,Medium Delay
15660,Medium Delay
12888,Medium Delay
14124,Short Delay
23620,Long Delay
28138,Long Delay
4370,Medium Delay
29370,Short Delay
28779,Medium Delay
23652,Medium Delay
22220,Short Delay
10448,Short Delay
26470,Short Delay
27491,Long Delay
29820,Long Delay
11505,Medium Delay
18173,Short Delay
18633,Short Delay
12326,Short Delay
34195,Short Delay
30704,Short Delay
24729,Medium Delay
17515,Long Delay
28952,Long Delay
28035,Short Delay
1699,Short Delay
26010,Short Delay
9011,Short Delay
24702,Short Delay
34306,Short Delay
19235,Medium Delay
19370,Long Delay
370,Medium Delay
24170,Short Delay
13089,Medium Delay
18051,Medium Delay
22676,Long Delay
3667,Short Delay
976,Short Delay
7448,Short Delay
903,Short Delay
4566,Long Delay
2126,Short Delay
14623,Long Delay
11198,Short Delay
16559,Short Delay
33658,Short Delay
7040,Short Delay
702,Medium Delay
20612,Short Delay
3468,Medium Delay
5381,Short Delay
22959,Short Delay
20200,Short Delay
487,Short Delay
9110,Short Delay
18768,Short Delay
30802,Short Delay
10091,Medium Delay
12751,Short Delay
2224,Short Delay
162,Medium Delay
27451,Long Delay
19221,Short Delay
22371,Short Delay
420,Medium Delay
27133,Short Delay
4735,Short Delay
12119,Medium Delay
34973,Medium Delay
6776,Short Delay
15619,Short Delay
5679,Short Delay
12603,Short Delay
21981,Short Delay
25357,Short Delay
19271,Medium Delay
4694,Medium Delay
18078,Short Delay
9227,Medium Delay
1143,Short Delay
18586,Medium Delay
3683,Medium Delay
18043,Medium Delay
6362,Medium Delay
23092,Short Delay
24766,Medium Delay
20931,Short Delay
18513,Short Delay
27738,Medium Delay
22660,Long Delay
16626,Long Delay
29587,Long Delay
6280,Medium Delay
5971,Short Delay
17764,Short Delay
6476,Long Delay
13753,Short Delay
14095,Short Delay
24573,Medium Delay
31504,Medium Delay
27212,Long Delay
26477,Medium Delay
9639,Long Delay
12661,Long Delay
22470,Short Delay
17308,Medium Delay
11150,Short Delay
8610,Medium Delay
24692,Medium Delay
3195,Short Delay
17014,Short Delay
700,Medium Delay
19055,Short Delay
30121,Medium Delay
3652,Long Delay
17268,Medium Delay
15260,Short Delay
22322,Short Delay
6098,Medium Delay
7519,Short Delay
13355,Short Delay
12719,Short Delay
256,Short Delay
3542,Medium Delay
29333,Medium Delay
19921,Medium Delay
19232,Short Delay
26611,Short Delay
556,Long Delay
18417,Short Delay
28331,Medium Delay
26052,Short Delay
14173,Long Delay
30454,Medium Delay
27961,Long Delay
21885,Short Delay
7437,Short Delay
28596,Short Delay
11534,Short Delay
2668,Medium Delay
4894,Short Delay
9498,Medium Delay
16673,Medium Delay
22515,Medium Delay
34058,Short Delay
16909,Short Delay
4773,Medium Delay
12452,Medium Delay
3238,Short Delay
34391,Short Delay
17767,Short Delay
22311,Medium Delay
23931,Short Delay
28113,Medium Delay
29310,Short Delay
31203,Medium Delay
9854,Medium Delay
725,Medium Delay
10800,Short Delay
9757,Short Delay
7783,Short Delay
5284,Medium Delay
7899,Short Delay
31063,Medium Delay
22144,Medium Delay
33523,Medium Delay
8884,Long Delay
32999,Medium Delay
337,Short Delay
13546,Medium Delay
33375,Long Delay
11130,Medium Delay
32715,Short Delay
3659,Medium Delay
11090,Short Delay
24450,Medium Delay
30671,Medium Delay
25952,Medium Delay
8244,Short Delay
2011,Long Delay
6659,Short Delay
24967,Medium Delay
34542,Medium Delay
35055,Short Delay
14787,Short Delay
23011,Short Delay
730,Medium Delay
21571,Medium Delay
5022,Medium Delay
18257,Medium Delay
26560,Medium Delay
19906,Short Delay
25689,Short Delay
30608,Short Delay
27679,Short Delay
11750,Medium Delay
20480,Long Delay
11114,Medium Delay
23628,Short Delay
24030,Short Delay
1514,Long Delay
12528,Long Delay
20880,Short Delay
107,Short Delay
991,Long Delay
22488,Long Delay
20131,Medium Delay
3136,Short Delay
9286,Short Delay
2667,Medium Delay
7295,Short Delay
14715,Long Delay
4205,Short Delay
21292,Medium Delay
4734,Short Delay
8979,Short Delay
29861,Medium Delay
19924,Short Delay
8469,Long Delay
4480,Short Delay
15991,Short Delay
32278,Medium Delay
28461,Medium Delay
16986,Short Delay
11544,Short Delay
26698,Short Delay
12902,Short Delay
25482,Medium Delay
11900,Short Delay
18611,Short Delay
29680,Medium Delay
2788,Short Delay
30726,Medium Delay
33423,Short Delay
28809,Short Delay
27619,Medium Delay
25781,Short Delay
10723,Medium Delay
33368,Short Delay
3841,Short Delay
17927,Short Delay
3936,Medium Delay
10026,Medium Delay
15810,Short Delay
1745,Short Delay
22955,Short Delay
17135,Long Delay
34200,Short Delay
30549,Short Delay
1430,Short Delay
16384,Short Delay
27680,Medium Delay
15585,Medium Delay
24668,Medium Delay
33238,Medium Delay
11708,Long Delay
964,Short Delay
6795,Long Delay
32435,Long Delay
31452,Short Delay
4829,Medium Delay
14954,Short Delay
19072,Short Delay
21355,Medium Delay
22376,Long Delay
21070,Long Delay
23949,Short Delay
15032,Short Delay
10479,Medium Delay
7925,Long Delay
14281,Short Delay
13943,Short Delay
8742,Short Delay
2319,Long Delay
19832,Medium Delay
697,Short Delay
15247,Medium Delay
20138,Medium Delay
15942,Medium Delay
32605,Short Delay
9405,Long Delay
28816,Short Delay
17545,Short Delay
14082,Medium Delay
7420,Medium Delay
28382,Short Delay
21762,Short Delay
15826,Long Delay
13336,Medium Delay
1376,Short Delay
34788,Medium Delay
24533,Long Delay
27238,Short Delay
18724,Short Delay
4198,Medium Delay
4782,Medium Delay
17855,Short Delay
12380,Short Delay
5332,Short Delay
18771,Short Delay
11665,Short Delay
20767,Long Delay
23634,Long Delay
32301,Medium Delay
15798,Short Delay
30164,Short Delay
23395,Short Delay
5205,Medium Delay
4601,Short Delay
29128,Medium Delay
27720,Medium Delay
22431,Short Delay
29595,Short Delay
24940,Long Delay
27129,Short Delay
25775,Medium Delay
1918,Short Delay
10952,Short Delay
4191,Short Delay
13628,Short Delay
913,Medium Delay
4061,Medium Delay
6620,Short Delay
19907,Long Delay
8798,Medium Delay
14428,Medium Delay
18493,Short Delay
14129,Medium Delay
16088,Short Delay
1686,Long Delay
18071,Short Delay
5850,Medium Delay
31712,Short Delay
13571,Long Delay
34140,Long Delay
594,Short Delay
25701,Medium Delay
21194,Medium Delay
24700,Long Delay
31849,Medium Delay
18403,Long Delay
24437,Medium Delay
19676,Long Delay
17158,Short Delay
8987,Medium Delay
11929,Short Delay
32536,Medium Delay
33293,Short Delay
7537,Long Delay
34273,Short Delay
34689,Short Delay
33708,Short Delay
26451,Medium Delay
10744,Long Delay
24280,Short Delay
9701,Short Delay
7105,Short Delay
25170,Short Delay
33144,Short Delay
13599,Medium Delay
28305,Medium Delay
23462,Short Delay
722,Long Delay
22277,Medium Delay
16177,Long Delay
32360,Short Delay
12771,Short Delay
28149,Short Delay
23469,Short Delay
12254,Short Delay
30925,Medium Delay
3067,Medium Delay
30982,Short Delay
6683,Short Delay
11045,Short Delay
19212,Medium Delay
27332,Long Delay
35091,Short Delay
31132,Medium Delay
18054,Short Delay
5620,Short Delay
20212,Short Delay
4454,Long Delay
6219,Short Delay
4149,Medium Delay
18113,Medium Delay
16399,Long Delay
6237,Long Delay
26398,Medium Delay
21742,Short Delay
34390,Medium Delay
1113,Short Delay
16440,Medium Delay
8936,Medium Delay
20965,Medium Delay
4213,Short Delay
1142,Short Delay
10243,Medium Delay
25310,Medium Delay
1493,Short Delay
4018,Short Delay
2158,Long Delay
8002,Short Delay
20631,Medium Delay
17264,Short Delay
33463,Short Delay
15350,Short Delay
11402,Medium Delay
8925,Short Delay
12754,Short Delay
30720,Medium Delay
9695,Medium Delay
12467,Short Delay
26110,Medium Delay
8895,Long Delay
30323,Medium Delay
22525,Medium Delay
25824,Short Delay
19120,Short Delay
18707,Long Delay
589,Short Delay
5378,Short Delay
6191,Medium Delay
2,Short Delay
3087,Medium Delay
27859,Medium Delay
2833,Long Delay
33908,Medium Delay
26348,Medium Delay
23093,Short Delay
32469,Short Delay
17144,Short Delay
31241,Short Delay
13538,Long Delay
9709,Medium Delay
3102,Medium Delay
32951,Medium Delay
17845,Medium Delay
30466,Medium Delay
9708,Short Delay
8144,Medium Delay
13448,Medium Delay
7798,Medium Delay
31578,Short Delay
12153,Short Delay
5625,Medium Delay
27985,Short Delay
21000,Medium Delay
15547,Medium Delay
5535,Long Delay
14711,Medium Delay
14810,Medium Delay
21664,Short Delay
943,Medium Delay
3826,Short Delay
8117,Medium Delay
10134,Medium Delay
21811,Medium Delay
29496,Short Delay
17061,Short Delay
28568,Medium Delay
23638,Short Delay
33078,Short Delay
11214,Short Delay
13429,Medium Delay
16210,Short Delay
16723,Short Delay
14231,Short Delay
12850,Short Delay
8130,Short Delay
14066,Short Delay
7840,Short Delay
11369,Medium Delay
19766,Medium Delay
4350,Long Delay
23725,Medium Delay
25490,Medium Delay
19999,Short Delay
15358,Medium Delay
14365,Medium Delay
34235,Long Delay
17713,Medium Delay
31353,Medium Delay
17111,Short Delay
13021,Short Delay
34707,Short Delay
19004,Medium Delay
9355,Short Delay
18545,Long Delay
10345,Short Delay
20949,Short Delay
22958,Short Delay
33789,Short Delay
6660,Short Delay
20162,Short Delay
2188,Short Delay
18603,Short Delay
26644,Short Delay
980,Short Delay
4056,Medium Delay
4679,Medium Delay
6254,Medium Delay
16001,Short Delay
281,Short Delay
726,Short Delay
23585,Short Delay
20534,Medium Delay
5177,Long Delay
4612,Medium Delay
33190,Short Delay
24900,Long Delay
3348,Medium Delay
3903,Medium Delay
30190,Medium Delay
16000,Medium Delay
25840,Short Delay
10077,Medium Delay
34501,Short Delay
12063,Short Delay
14390,Short Delay
20554,Short Delay
4823,Medium Delay
8438,Short Delay
14372,Short Delay
2477,Short Delay
28939,Medium Delay
666,Short Delay
5243,Short Delay
11036,Short Delay
33838,Short Delay
21118,Medium Delay
15419,Short Delay
28867,Medium Delay
27079,Short Delay
18994,Short Delay
13135,Short Delay
34185,Short Delay
19519,Short Delay
6790,Medium Delay
29603,Medium Delay
5390,Short Delay
11175,Short Delay
2344,Long Delay
13782,Short Delay
6855,Medium Delay
23070,Medium Delay
14104,Short Delay
18017,Medium Delay
470,Short Delay
29231,Medium Delay
7015,Short Delay
16628,Short Delay
19718,Medium Delay
11184,Medium Delay
19844,Short Delay
11567,Medium Delay
28211,Short Delay
7002,Short Delay
19007,Short Delay
14793,Medium Delay
13828,Long Delay
5763,Short Delay
2157,Medium Delay
8728,Short Delay
22070,Short Delay
18255,Short Delay
12882,Medium Delay
21706,Medium Delay
3357,Short Delay
28817,Short Delay
2203,Short Delay
1976,Medium Delay
20461,Medium Delay
21228,Short Delay
4664,Short Delay
21702,Short Delay
22984,Short Delay
14356,Short Delay
15577,Short Delay
30534,Long Delay
16957,Medium Delay
17983,Medium Delay
3149,Short Delay
33564,Short Delay
15624,Short Delay
29824,Short Delay
15838,Short Delay
32515,Medium Delay
14113,Medium Delay
29673,Long Delay
1137,Short Delay
4586,Medium Delay
10992,Long Delay
21807,Short Delay
11286,Medium Delay
9210,Long Delay
18920,Medium Delay
8059,Short Delay
26015,Medium Delay
19180,Short Delay
29195,Short Delay
27194,Short Delay
1540,Long Delay
26650,Medium Delay
14111,Medium Delay
2817,Short Delay
33741,Short Delay
28561,Medium Delay
26263,Short Delay
33493,Long Delay
22193,Short Delay
25814,Medium Delay
23322,Medium Delay
6203,Short Delay
33633,Long Delay
25587,Short Delay
1990,Short Delay
32807,Short Delay
848,Short Delay
9131,Short Delay
5706,Long Delay
22744,Short Delay
19720,Medium Delay
1905,Long Delay
10461,Short Delay
2342,Medium Delay
26685,Long Delay
9749,Medium Delay
13381,Short Delay
9801,Short Delay
1237,Medium Delay
3960,Medium Delay
17560,Short Delay
2635,Medium Delay
4109,Short Delay
23685,Short Delay
22083,Long Delay
24278,Short Delay
17177,Long Delay
9538,Medium Delay
33984,Medium Delay
34484,Medium Delay
11599,Medium Delay
33716,Medium Delay
10771,Medium Delay
3791,Medium Delay
17886,Short Delay
14720,Short Delay
32997,Medium Delay
696,Medium Delay
1821,Medium Delay
17638,Short Delay
22746,Short Delay
16931,Short Delay
6918,Short Delay
21238,Medium Delay
32128,Short Delay
10787,Medium Delay
24491,Short Delay
33104,Medium Delay
8070,Medium Delay
12219,Short Delay
19031,Long Delay
7861,Short Delay
29949,Short Delay
10646,Medium Delay
2604,Long Delay
30290,Short Delay
35026,Medium Delay
25144,Short Delay
31219,Long Delay
23254,Long Delay
17961,Medium Delay
10682,Short Delay
34571,Medium Delay
7815,Medium Delay
10550,Long Delay
8022,Short Delay
12863,Short Delay
14115,Short Delay
14850,Short Delay
8182,Long Delay
11289,Medium Delay
23694,Medium Delay
2331,Short Delay
33906,Medium Delay
29360,Medium Delay
17733,Medium Delay
23444,Short Delay
8969,Short Delay
18523,Medium Delay
442,Short Delay
6356,Long Delay
7679,Medium Delay
18858,Short Delay
207,Short Delay
18998,Medium Delay
11105,Short Delay
21057,Short Delay
33706,Medium Delay
26438,Long Delay
7364,Medium Delay
17797,Short Delay
22777,Medium Delay
33793,Short Delay
9768,Short Delay
27167,Short Delay
29043,Medium Delay
6409,Short Delay
12499,Medium Delay
11318,Medium Delay
28698,Short Delay
30405,Short Delay
25617,Short Delay
14087,Short Delay
34981,Long Delay
26678,Long Delay
7690,Long Delay
18202,Long Delay
7785,Short Delay
19057,Short Delay
21011,Medium Delay
5133,Medium Delay
20644,Short Delay
5026,Short Delay
2882,Short Delay
7590,Short Delay
20546,Medium Delay
34962,Short Delay
1883,Short Delay
27315,Medium Delay
30387,Short Delay
27647,Short Delay
30145,Short Delay
4673,Short Delay
19389,Short Delay
26358,Medium Delay
31285,Medium Delay
21808,Long Delay
13673,Short Delay
6244,Short Delay
30943,Short Delay
22680,Medium Delay
30724,Short Delay
27395,Short Delay
7883,Medium Delay
3934,Long Delay
18397,Short Delay
18884,Medium Delay
15454,Short Delay
30358,Short Delay
22826,Long Delay
18404,Long Delay
7818,Short Delay
25929,Medium Delay
23955,Medium Delay
30913,Short Delay
7595,Long Delay
10998,Short Delay
21043,Medium Delay
19277,Medium Delay
15553,Medium Delay
6847,Short Delay
9353,Medium Delay
21855,Short Delay
29709,Medium Delay
9911,Short Delay
33002,Medium Delay
17163,Short Delay
32794,Short Delay
27301,Short Delay
5844,Medium Delay
35140,Short Delay
257,Short Delay
2047,Medium Delay
15561,Short Delay
5719,Medium Delay
5487,Short Delay
16665,Long Delay
339,Short Delay
20684,Short Delay
10698,Medium Delay
9516,Medium Delay
13088,Medium Delay
6857,Medium Delay
3291,Medium Delay
30026,Medium Delay
13326,Medium Delay
3257,Long Delay
26510,Short Delay
789,Medium Delay
14370,Medium Delay
5232,Short Delay
15975,Medium Delay
31306,Medium Delay
7929,Short Delay
19428,Medium Delay
18372,Short Delay
767,Medium Delay
6207,Medium Delay
26181,Short Delay
15621,Medium Delay
7037,Medium Delay
21978,Medium Delay
28502,Medium Delay
27318,Medium Delay
22237,Short Delay
26311,Long Delay
6153,Long Delay
14835,Medium Delay
13152,Medium Delay
16126,Short Delay
8967,Short Delay
3906,Short Delay
28526,Medium Delay
17012,Short Delay
29759,Short Delay
34147,Medium Delay
16235,Short Delay
17241,Short Delay
7782,Short Delay
4151,Medium Delay
23335,Medium Delay
23975,Long Delay
29562,Short Delay
16128,Medium Delay
6141,Long Delay
25997,Long Delay
25828,Medium Delay
32176,Long Delay
20135,Medium Delay
15506,Short Delay
30952,Short Delay
30865,Short Delay
7375,Short Delay
898,Short Delay
25731,Long Delay
2634,Short Delay
24024,Long Delay
8965,Short Delay
5276,Short Delay
30837,Medium Delay
13522,Medium Delay
28239,Medium Delay
30712,Short Delay
950,Medium Delay
7658,Medium Delay
8009,Short Delay
35197,Short Delay
21358,Short Delay
16390,Short Delay
12973,Short Delay
10807,Short Delay
33797,Long Delay
28927,Medium Delay
23087,Medium Delay
12037,Short Delay
21631,Long Delay
16555,Medium Delay
16560,Medium Delay
6238,Short Delay
19473,Short Delay
4081,Long Delay
20185,Medium Delay
21883,Short Delay
1313,Short Delay
4190,Medium Delay
24693,Medium Delay
33970,Short Delay
12340,Short Delay
436,Medium Delay
17846,Short Delay
26627,Medium Delay
20800,Short Delay
11330,Medium Delay
26472,Medium Delay
7581,Short Delay
27968,Short Delay
26906,Short Delay
31320,Medium Delay
1557,Medium Delay
7,Medium Delay
27502,Medium Delay
11905,Medium Delay
9384,Medium Delay
3873,Short Delay
7716,Medium Delay
26445,Short Delay
4171,Short Delay
1298,Medium Delay
17988,Medium Delay
16272,Short Delay
4464,Short Delay
26824,Short Delay
13341,Medium Delay
547,Short Delay
29391,Short Delay
7318,Long Delay
922,Medium Delay
30347,Medium Delay
19407,Short Delay
24079,Short Delay
20362,Short Delay
21881,Medium Delay
8437,Medium Delay
26544,Short Delay
21299,Short Delay
11248,Short Delay
2860,Medium Delay
24566,Medium Delay
29911,Short Delay
30134,Short Delay
16743,Short Delay
26247,Long Delay
19187,Medium Delay
8303,Medium Delay
35188,Medium Delay
11048,Short Delay
3113,Medium Delay
23428,Long Delay
20938,Medium Delay
30599,Short Delay
22479,Medium Delay
20490,Long Delay
18353,Short Delay
12282,Short Delay
13783,Short Delay
5792,Long Delay
5447,Medium Delay
34131,Medium Delay
16135,Medium Delay
5816,Short Delay
22174,Short Delay
34290,Short Delay
30207,Short Delay
9095,Short Delay
16013,Medium Delay
33338,Short Delay
4082,Short Delay
10759,Short Delay
9492,Medium Delay
14765,Short Delay
1307,Medium Delay
22072,Short Delay
32412,Short Delay
15741,Medium Delay
4340,Short Delay
4901,Short Delay
27571,Medium Delay
20879,Medium Delay
23315,Medium Delay
10299,Medium Delay
23882,Short Delay
13033,Medium Delay
27092,Short Delay
5217,Long Delay
21591,Short Delay
24607,Short Delay
22682,Short Delay
17728,Short Delay
27853,Medium Delay
12527,Medium Delay
2297,Medium Delay
4815,Short Delay
23044,Medium Delay
31181,Short Delay
6691,Medium Delay
6643,Short Delay
32593,Medium Delay
27415,Medium Delay
26104,Long Delay
21075,Medium Delay
22364,Long Delay
24914,Short Delay
18166,Medium Delay
26420,Short Delay
7062,Medium Delay
25397,Medium Delay
22292,Short Delay
22363,Medium Delay
3828,Short Delay
13017,Short Delay
29,Short Delay
27028,Short Delay
30855,Medium Delay
7521,Medium Delay
28856,Long Delay
32352,Short Delay
33644,Short Delay
29701,Short Delay
33938,Medium Delay
12000,Short Delay
13002,Short Delay
29871,Medium Delay
20348,Short Delay
5261,Medium Delay
20598,Medium Delay
24442,Short Delay
31962,Short Delay
30788,Short Delay
30198,Short Delay
13523,Medium Delay
13705,Medium Delay
10594,Short Delay
2493,Short Delay
24873,Short Delay
17524,Short Delay
19171,Short Delay
3445,Medium Delay
12072,Short Delay
16857,Short Delay
14733,Medium Delay
1001,Short Delay
32441,Short Delay
13542,Short Delay
8669,Medium Delay
25787,Short Delay
20326,Short Delay
11356,Short Delay
213,Short Delay
30869,Short Delay
33876,Long Delay
1782,Medium Delay
4271,Short Delay
15964,Short Delay
8032,Short Delay
15144,Short Delay
19815,Short Delay
19213,Short Delay
32698,Short Delay
26999,Short Delay
19363,Medium Delay
29908,Long Delay
2652,Medium Delay
33947,Medium Delay
8384,Medium Delay
17956,Medium Delay
24521,Short Delay
16337,Long Delay
19386,Short Delay
27163,Medium Delay
16832,Medium Delay
182,Long Delay
12811,Medium Delay
30685,Medium Delay
13880,Short Delay
14262,Short Delay
33924,Short Delay
23947,Medium Delay
12399,Short Delay
29546,Medium Delay
33424,Short Delay
29576,Medium Delay
15677,Medium Delay
8796,Medium Delay
8377,Long Delay
13482,Medium Delay
8171,Short Delay
6030,Short Delay
31060,Medium Delay
31018,Medium Delay
1189,Short Delay
10136,Medium Delay
20213,Medium Delay
2783,Short Delay
20127,Medium Delay
29664,Long Delay
35071,Short Delay
790,Medium Delay
11070,Medium Delay
34711,Short Delay
34851,Short Delay
33134,Short Delay
31546,Medium Delay
26638,Medium Delay
21456,Short Delay
25098,Long Delay
21663,Long Delay
1296,Short Delay
33719,Short Delay
7415,Medium Delay
24341,Medium Delay
27685,Short Delay
6815,Short Delay
7401,Short Delay
695,Medium Delay
34933,Short Delay
33265,Short Delay
30249,Short Delay
31419,Short Delay
13600,Medium Delay
32048,Medium Delay
34224,Short Delay
13540,Long Delay
31852,Medium Delay
9947,Short Delay
5373,Medium Delay
13905,Medium Delay
16448,Short Delay
17719,Medium Delay
7239,Medium Delay
27296,Medium Delay
17878,Short Delay
11437,Medium Delay
1962,Short Delay
5578,Medium Delay
6976,Medium Delay
12623,Short Delay
21516,Medium Delay
11481,Short Delay
18101,Medium Delay
10557,Medium Delay
11075,Short Delay
14875,Medium Delay
26950,Long Delay
4771,Medium Delay
29554,Long Delay
9104,Short Delay
25988,Medium Delay
5567,Short Delay
3777,Long Delay
14690,Short Delay
15511,Medium Delay
5662,Short Delay
21865,Medium Delay
495,Short Delay
17657,Medium Delay
23581,Short Delay
30646,Medium Delay
13430,Medium Delay
3402,Short Delay
7522,Short Delay
15849,Short Delay
8289,Short Delay
8328,Medium Delay
10734,Short Delay
6561,Medium Delay
3474,Short Delay
35239,Long Delay
1769,Medium Delay
23617,Medium Delay
167,Short Delay
14578,Medium Delay
31687,Medium Delay
11151,Medium Delay
13322,Medium Delay
7919,Short Delay
13413,Long Delay
31265,Medium Delay
3428,Long Delay
11417,Short Delay
10142,Short Delay
24835,Long Delay
7974,Short Delay
34287,Long Delay
21019,Short Delay
33501,Short Delay
15502,Short Delay
22795,Short Delay
22721,Long Delay
7123,Short Delay
1704,Medium Delay
25538,Medium Delay
10817,Medium Delay
14817,Medium Delay
11915,Medium Delay
14662,Short Delay
11718,Short Delay
12075,Short Delay
4711,Medium Delay
6645,Long Delay
19242,Medium Delay
18007,Medium Delay
28541,Short Delay
32848,Medium Delay
15243,Short Delay
16331,Medium Delay
34767,Medium Delay
21964,Medium Delay
4986,Medium Delay
20471,Medium Delay
31245,Medium Delay
28267,Short Delay
2273,Short Delay
1753,Medium Delay
19632,Medium Delay
29381,Short Delay
16241,Medium Delay
11679,Short Delay
5550,Short Delay
20788,Medium Delay
10235,Short Delay
28844,Medium Delay
5619,Short Delay
18072,Medium Delay
29528,Short Delay
23396,Medium Delay
26297,Medium Delay
31274,Short Delay
24913,Short Delay
1069,Short Delay
31195,Medium Delay
23721,Short Delay
18206,Medium Delay
22803,Short Delay
2045,Short Delay
20197,Medium Delay
19775,Short Delay
8410,Medium Delay
1812,Short Delay
10874,Short Delay
26651,Short Delay
1367,Long Delay
11232,Short Delay
26187,Medium Delay
4395,Medium Delay
15463,Short Delay
6187,Medium Delay
29558,Short Delay
16690,Medium Delay
23974,Short Delay
380,Short Delay
10554,Short Delay
30425,Long Delay
10965,Short Delay
2858,Long Delay
15244,Medium Delay
14141,Medium Delay
6747,Short Delay
24694,Short Delay
15967,Short Delay
25295,Medium Delay
11886,Short Delay
26441,Short Delay
23973,Short Delay
21837,Short Delay
10619,Long Delay
27904,Short Delay
5340,Short Delay
18391,Medium Delay
5226,Long Delay
3660,Long Delay
34538,Short Delay
4166,Medium Delay
21871,Short Delay
8688,Medium Delay
12820,Medium Delay
7328,Medium Delay
4804,Medium Delay
2200,Medium Delay
9928,Short Delay
5462,Medium Delay
28610,Short Delay
3521,Short Delay
3319,Medium Delay
19365,Short Delay
16429,Short Delay
23375,Short Delay
24426,Short Delay
28870,Short Delay
5411,Medium Delay
7509,Short Delay
31168,Medium Delay
12325,Short Delay
30835,Short Delay
2407,Short Delay
30679,Short Delay
12802,Long Delay
4469,Medium Delay
17073,Short Delay
21099,Short Delay
31732,Short Delay
25358,Short Delay
19845,Long Delay
21914,Medium Delay
1784,Short Delay
26964,Medium Delay
9322,Short Delay
25477,Short Delay
14921,Short Delay
21487,Medium Delay
6050,Short Delay
24237,Short Delay
3066,Short Delay
35193,Medium Delay
34167,Short Delay
16977,Medium Delay
12667,Short Delay
9952,Short Delay
29927,Short Delay
29648,Medium Delay
22086,Medium Delay
27416,Medium Delay
16483,Short Delay
32106,Medium Delay
33073,Short Delay
9697,Medium Delay
30847,Short Delay
1603,Short Delay
33101,Short Delay
32102,Short Delay
34314,Short Delay
427,Medium Delay
11994,Short Delay
13494,Medium Delay
19069,Medium Delay
20721,Short Delay
14852,Short Delay
20057,Medium Delay
34298,Medium Delay
33527,Short Delay
6765,Medium Delay
28206,Short Delay
30699,Medium Delay
19353,Short Delay
19267,Medium Delay
21353,Short Delay
3606,Medium Delay
30544,Short Delay
34182,Short Delay
18767,Short Delay
4688,Short Delay
3392,Short Delay
22804,Long Delay
30144,Medium Delay
6336,Short Delay
8006,Medium Delay
13913,Short Delay
34256,Long Delay
20452,Short Delay
20071,Medium Delay
15562,Medium Delay
33290,Short Delay
28467,Long Delay
6664,Short Delay
26335,Medium Delay
9857,Long Delay
3272,Medium Delay
6622,Long Delay
10493,Short Delay
10400,Medium Delay
25613,Short Delay
1567,Medium Delay
25882,Short Delay
4849,Short Delay
17948,Short Delay
12176,Medium Delay
20379,Short Delay
18704,Short Delay
22686,Short Delay
34782,Short Delay
1680,Medium Delay
31812,Short Delay
2081,Short Delay
21814,Medium Delay
10214,Short Delay
24945,Short Delay
31829,Short Delay
34995,Long Delay
28444,Medium Delay
4980,Short Delay
22843,Short Delay
18470,Short Delay
32051,Short Delay
6913,Short Delay
6055,Short Delay
10997,Medium Delay
22076,Short Delay
16867,Medium Delay
16131,Medium Delay
18953,Short Delay
34003,Long Delay
6524,Short Delay
26115,Long Delay
31575,Medium Delay
19361,Medium Delay
31581,Short Delay
26469,Short Delay
21982,Medium Delay
21502,Medium Delay
30314,Long Delay
18410,Medium Delay
18565,Long Delay
14471,Long Delay
26687,Short Delay
31472,Short Delay
6837,Short Delay
17049,Medium Delay
32346,Short Delay
33634,Long Delay
27218,Medium Delay
30714,Short Delay
34897,Short Delay
3704,Medium Delay
20675,Medium Delay
9851,Short Delay
11758,Short Delay
16777,Medium Delay
17765,Short Delay
23737,Short Delay
21728,Short Delay
23610,Medium Delay
9148,Short Delay
33857,Long Delay
5183,Medium Delay
22233,Short Delay
34583,Short Delay
17874,Short Delay
17816,Medium Delay
12614,Medium Delay
15067,Medium Delay
12068,Short Delay
11581,Medium Delay
23269,Long Delay
11241,Medium Delay
24525,Short Delay
33532,Short Delay
19291,Medium Delay
29040,Long Delay
227,Medium Delay
11513,Medium Delay
25304,Medium Delay
4293,Medium Delay
10239,Short Delay
16470,Medium Delay
7125,Long Delay
23666,Long Delay
17447,Medium Delay
3713,Short Delay
9681,Short Delay
26985,Short Delay
11097,Medium Delay
11475,Short Delay
23181,Medium Delay
34297,Medium Delay
18451,Short Delay
9594,Short Delay
185,Short Delay
1186,Long Delay
31713,Short Delay
24674,Short Delay
29535,Short Delay
32390,Medium Delay
8246,Short Delay
25405,Medium Delay
10931,Medium Delay
21828,Short Delay
6900,Short Delay
4206,Medium Delay
13564,Medium Delay
34938,Medium Delay
20959,Medium Delay
27668,Medium Delay
30153,Short Delay
20099,Short Delay
20667,Medium Delay
19369,Medium Delay
5901,Short Delay
25893,Medium Delay
25679,Short Delay
1223,Short Delay
28574,Medium Delay
4070,Short Delay
16186,Medium Delay
7154,Medium Delay
23151,Medium Delay
19136,Medium Delay
16118,Short Delay
18359,Medium Delay
2993,Medium Delay
18799,Short Delay
24824,Medium Delay
13213,Medium Delay
9748,Medium Delay
