,Min Delay
30625,Medium Delay
18274,Medium Delay
12311,Short Delay
10379,Short Delay
9193,Short Delay
22377,Short Delay
34413,Medium Delay
1166,Medium Delay
16049,Short Delay
30162,Long Delay
7283,Medium Delay
18701,Short Delay
27354,Short Delay
28479,Short Delay
22036,Medium Delay
24080,Medium Delay
11776,Medium Delay
273,Long Delay
35072,Short Delay
938,Short Delay
27038,Medium Delay
21331,Medium Delay
30113,Short Delay
29210,Long Delay
11709,Long Delay
33592,Medium Delay
18302,Short Delay
17942,Medium Delay
21582,Short Delay
27870,Short Delay
30340,Medium Delay
20579,Medium Delay
7884,Medium Delay
29147,Short Delay
29735,Medium Delay
971,Long Delay
34123,Short Delay
16663,Medium Delay
2787,Medium Delay
12,Long Delay
26743,Medium Delay
21319,Medium Delay
21294,Medium Delay
14477,Short Delay
32758,Medium Delay
26059,Short Delay
32459,Short Delay
27841,Short Delay
23812,Medium Delay
19535,Long Delay
26702,Short Delay
26547,Medium Delay
29044,Short Delay
13469,Medium Delay
2260,Medium Delay
5812,Short Delay
5156,Medium Delay
15265,Medium Delay
15794,Medium Delay
350,Short Delay
21038,Short Delay
13019,Medium Delay
132,Medium Delay
9057,Medium Delay
25004,Medium Delay
34862,Medium Delay
11636,Medium Delay
13103,Short Delay
31652,Medium Delay
29023,Medium Delay
10476,Long Delay
26325,Medium Delay
22049,Medium Delay
21740,Short Delay
8702,Medium Delay
26820,Medium Delay
34594,Medium Delay
18002,Medium Delay
28242,Short Delay
8687,Short Delay
22687,Short Delay
10143,Short Delay
33304,Long Delay
583,Medium Delay
30214,Short Delay
9871,Medium Delay
5566,Short Delay
5587,Medium Delay
16138,Medium Delay
29929,Short Delay
12982,Medium Delay
721,Short Delay
14812,Long Delay
12782,Medium Delay
22477,Short Delay
2969,Medium Delay
6398,Short Delay
4639,Short Delay
5819,Short Delay
3225,Medium Delay
4334,Short Delay
14970,Medium Delay
21237,Short Delay
27208,Medium Delay
31336,Short Delay
29787,Short Delay
31130,Short Delay
31450,Short Delay
23663,Short Delay
1957,Short Delay
11840,Medium Delay
28748,Medium Delay
13136,Medium Delay
26314,Medium Delay
2642,Short Delay
9485,Short Delay
26217,Short Delay
19683,Short Delay
17836,Medium Delay
8330,Long Delay
30401,Short Delay
21091,Medium Delay
32486,Medium Delay
15995,Long Delay
463,Short Delay
475,Medium Delay
20620,Short Delay
15096,Medium Delay
14822,Medium Delay
11276,Medium Delay
16849,Medium Delay
7035,Long Delay
23640,Short Delay
13083,Medium Delay
30441,Short Delay
29430,Short Delay
10492,Medium Delay
106,Short Delay
11176,Short Delay
5460,Medium Delay
12866,Short Delay
28349,Medium Delay
15196,Medium Delay
11364,Medium Delay
22120,Short Delay
200,Short Delay
34673,Medium Delay
2541,Short Delay
33310,Short Delay
25439,Medium Delay
34642,Medium Delay
11852,Short Delay
14232,Medium Delay
5233,Short Delay
19170,Medium Delay
28618,Short Delay
19234,Short Delay
29455,Long Delay
23080,Medium Delay
456,Short Delay
15325,Medium Delay
10743,Medium Delay
19997,Medium Delay
22288,Short Delay
31215,Short Delay
23764,Short Delay
1115,Short Delay
13437,Short Delay
2711,Short Delay
21,Medium Delay
28123,Short Delay
1241,Short Delay
13579,Medium Delay
6397,Medium Delay
27153,Medium Delay
10473,Medium Delay
10684,Medium Delay
26387,Short Delay
27178,Medium Delay
20514,Short Delay
6766,Medium Delay
8651,Short Delay
6373,Long Delay
21206,Long Delay
5298,Short Delay
1070,Long Delay
29565,Short Delay
22056,Medium Delay
4376,Medium Delay
11912,Short Delay
7645,Short Delay
2274,Short Delay
984,Short Delay
6960,Short Delay
34031,Medium Delay
15861,Medium Delay
28591,Short Delay
27331,Short Delay
5548,Short Delay
21517,Short Delay
30754,Short Delay
34600,Short Delay
22048,Medium Delay
7692,Long Delay
21769,Medium Delay
6665,Medium Delay
9601,Short Delay
29726,Short Delay
16289,Short Delay
121,Medium Delay
2705,Short Delay
11839,Medium Delay
13541,Medium Delay
7427,Short Delay
23957,Long Delay
13165,Short Delay
5591,Short Delay
9849,Medium Delay
1651,Short Delay
22108,Long Delay
11547,Medium Delay
13647,Medium Delay
12045,Medium Delay
3938,Long Delay
26846,Long Delay
4721,Short Delay
20785,Short Delay
27481,Short Delay
13292,Short Delay
28540,Medium Delay
32462,Medium Delay
27102,Medium Delay
10224,Medium Delay
18169,Short Delay
34763,Medium Delay
3992,Short Delay
28659,Medium Delay
1259,Short Delay
21599,Medium Delay
354,Medium Delay
26791,Short Delay
27260,Short Delay
4094,Short Delay
21201,Medium Delay
33339,Medium Delay
24097,Long Delay
10973,Short Delay
6391,Short Delay
33632,Short Delay
33325,Medium Delay
30205,Medium Delay
723,Medium Delay
11937,Short Delay
30406,Medium Delay
28153,Short Delay
18720,Short Delay
24803,Short Delay
29753,Medium Delay
6432,Long Delay
14424,Medium Delay
611,Short Delay
23391,Medium Delay
2368,Medium Delay
8455,Medium Delay
326,Medium Delay
6944,Short Delay
4996,Short Delay
15771,Short Delay
10533,Medium Delay
20059,Short Delay
18316,Medium Delay
29836,Medium Delay
29154,Short Delay
27796,Medium Delay
27933,Short Delay
21129,Short Delay
5128,Short Delay
8707,Long Delay
31432,Long Delay
15613,Medium Delay
7068,Short Delay
22946,Medium Delay
31078,Short Delay
13157,Medium Delay
2452,Short Delay
17945,Short Delay
29939,Long Delay
24046,Medium Delay
12834,Short Delay
28177,Long Delay
30001,Short Delay
35139,Short Delay
10576,Medium Delay
14734,Medium Delay
31458,Medium Delay
21254,Medium Delay
3802,Short Delay
24990,Medium Delay
16224,Short Delay
3255,Short Delay
7010,Short Delay
13053,Medium Delay
20093,Medium Delay
29467,Short Delay
12731,Short Delay
16458,Short Delay
31567,Medium Delay
8159,Medium Delay
9669,Medium Delay
22698,Medium Delay
18903,Short Delay
12156,Medium Delay
2392,Medium Delay
239,Medium Delay
30424,Long Delay
8217,Short Delay
18384,Short Delay
4429,Medium Delay
10083,Medium Delay
31266,Short Delay
24028,Medium Delay
33727,Short Delay
32375,Short Delay
26864,Medium Delay
9183,Medium Delay
32980,Medium Delay
26278,Short Delay
18615,Medium Delay
26499,Long Delay
23394,Medium Delay
27949,Medium Delay
596,Medium Delay
33624,Medium Delay
7136,Short Delay
26912,Medium Delay
23454,Short Delay
4766,Short Delay
9159,Long Delay
32680,Medium Delay
34895,Short Delay
19412,Medium Delay
30294,Short Delay
7048,Medium Delay
3843,Short Delay
14913,Short Delay
22408,Short Delay
13634,Short Delay
22599,Medium Delay
32792,Medium Delay
28992,Short Delay
10976,Medium Delay
15135,Short Delay
260,Short Delay
13474,Medium Delay
32493,Medium Delay
34885,Medium Delay
32087,Short Delay
12695,Short Delay
14487,Short Delay
25501,Long Delay
6509,Short Delay
14208,Short Delay
17389,Short Delay
25920,Short Delay
20622,Medium Delay
32635,Medium Delay
31909,Medium Delay
19818,Long Delay
29033,Short Delay
3734,Long Delay
26727,Short Delay
29140,Medium Delay
8052,Medium Delay
8396,Short Delay
19062,Short Delay
13087,Long Delay
6010,Medium Delay
